code,eta,d,p,pl,sigma,errors,shots
css,0.5,9,0.009900000000000016,0.22909893791160685,0.0011595864214730134,30091,131345
css,0.5,9,0.010000000000000016,0.2353885852829512,0.0011845255361247475,30194,128273
css,0.5,11,0.004,0.0044733333333333335,0.00012184862550628124,1342,300000
css,0.5,11,0.0041,0.005123333333333333,0.00013035699874155027,1537,300000
css,0.5,11,0.004200000000000001,0.005803333333333333,0.0001386896958340371,1741,300000
css,0.5,11,0.004300000000000001,0.006586666666666667,0.0001476941907569097,1976,300000
css,0.5,11,0.004400000000000001,0.007586666666666667,0.00015842866206932857,2276,300000
css,0.5,11,0.004500000000000001,0.008823333333333334,0.00017074598235466108,2647,300000
css,0.5,11,0.004600000000000002,0.009996666666666666,0.00018163608921969825,2999,300000
css,0.5,11,0.004700000000000002,0.01109,0.0001912047080550993,3327,300000
css,0.5,11,0.004800000000000002,0.012056666666666667,0.0001992657971574708,3617,300000
css,0.5,11,0.0049000000000000024,0.01368,0.000212081752914952,4104,300000
css,0.5,11,0.005000000000000003,0.015153333333333333,0.00022304292306712763,4546,300000
css,0.5,11,0.005100000000000003,0.016103333333333334,0.00022981691039043392,4831,300000
css,0.5,11,0.005200000000000003,0.018626666666666666,0.0002468496534275,5588,300000
css,0.5,11,0.0053000000000000035,0.020823333333333333,0.000260706856572656,6247,300000
css,0.5,11,0.005400000000000004,0.022426666666666668,0.0002703355844089726,6728,300000
css,0.5,11,0.005500000000000004,0.02471,0.0002834318763877755,7413,300000
css,0.5,11,0.005600000000000004,0.026703333333333332,0.0002943406494887099,8011,300000
css,0.5,11,0.0057000000000000045,0.029443333333333332,0.00030863714550043164,8833,300000
css,0.5,11,0.005800000000000005,0.03281,0.0003252390181192055,9843,300000
css,0.5,11,0.005900000000000005,0.03599666666666667,0.0003401054181922242,10799,300000
css,0.5,11,0.006000000000000005,0.03867333333333333,0.000352033578416705,11602,300000
css,0.5,11,0.006100000000000006,0.04185,0.0003656006177295279,12555,300000
css,0.5,11,0.006200000000000006,0.04466333333333333,0.000377134232784071,13399,300000
css,0.5,11,0.006300000000000006,0.048856666666666666,0.0003935742891342728,14657,300000
css,0.5,11,0.006400000000000006,0.05268333333333333,0.0004078737563388904,15805,300000
css,0.5,11,0.006500000000000007,0.056203333333333334,0.0004204957326576081,16861,300000
css,0.5,11,0.006600000000000007,0.0605,0.00043527847177795426,18150,300000
css,0.5,11,0.006700000000000007,0.06458666666666667,0.00044875999419567714,19376,300000
css,0.5,11,0.006800000000000007,0.06967,0.00046481714082946546,20901,300000
css,0.5,11,0.006900000000000008,0.07455666666666666,0.00047957739544253475,22367,300000
css,0.5,11,0.007000000000000008,0.07797666666666667,0.0004895462529856537,23393,300000
css,0.5,11,0.007100000000000008,0.08354666666666667,0.0005051961468635902,25064,300000
css,0.5,11,0.0072000000000000085,0.08800333333333334,0.0005172331676903535,26401,300000
css,0.5,11,0.007300000000000009,0.09345666666666666,0.0005314219498541578,28037,300000
css,0.5,11,0.007400000000000009,0.10024,0.000548307013910912,30072,300000
css,0.5,11,0.007500000000000009,0.1050778231206879,0.0005734415933792564,30049,285969
css,0.5,11,0.0076000000000000095,0.11111234290064262,0.0006041348631279919,30068,270609
css,0.5,11,0.00770000000000001,0.11717192212991615,0.0006353291360935154,30028,256273
css,0.5,11,0.00780000000000001,0.12210963569927612,0.0006600832629290176,30043,246033
css,0.5,11,0.007900000000000011,0.1287343044771011,0.0006927100694035793,30091,233745
css,0.5,11,0.00800000000000001,0.13556130535498992,0.0007274286386222961,30021,221457
css,0.5,11,0.00810000000000001,0.1421429146328184,0.0007598112091015963,30023,211217
css,0.5,11,0.008200000000000011,0.14956437801340453,0.0007955392091692493,30059,200977
css,0.5,11,0.008300000000000012,0.15625697019996368,0.0008269667761027777,30124,192785
css,0.5,11,0.008400000000000012,0.16172548850590193,0.0008546205064391965,30019,185617
css,0.5,11,0.008500000000000011,0.17022579237079155,0.0008948326938813256,30028,176401
css,0.5,11,0.008600000000000012,0.1773436628156258,0.0009256870905105796,30194,170257
css,0.5,11,0.008700000000000013,0.1830324227818637,0.000954540804844306,30038,164113
css,0.5,11,0.008800000000000013,0.19122622574787346,0.0009926884844214667,30012,156945
css,0.5,11,0.008900000000000012,0.19769838206334356,0.001018681662849158,30218,152849
css,0.5,11,0.009000000000000013,0.20369054146443827,0.001047834793620639,30091,147729
css,0.5,11,0.009100000000000014,0.21164863367669642,0.0010816665902835532,30183,142609
css,0.5,11,0.009200000000000014,0.21862112605372067,0.0011146591156026564,30058,137489
css,0.5,11,0.009300000000000013,0.22524420321905947,0.0011437781216301346,30046,133393
css,0.5,11,0.009400000000000014,0.23429716308186446,0.0011826193767328075,30054,128273
css,0.5,11,0.009500000000000015,0.23966262250301515,0.0012064194651168203,30006,125201
css,0.5,11,0.009600000000000015,0.24754153395180506,0.001234965243736369,30232,122129
css,0.5,11,0.009700000000000014,0.2519715858462205,0.0012528424671680582,30257,120081
css,0.5,11,0.009800000000000015,0.26379490420144464,0.0013055660920833212,30056,113937
css,0.5,11,0.009900000000000016,0.268730616950728,0.0013252632689372823,30068,111889
css,0.5,11,0.010000000000000016,0.2763171195677146,0.0013555894351915398,30068,108817
css,0.5,13,0.004,0.002693333333333333,9.463781325948174e-05,808,300000
css,0.5,13,0.0041,0.0031533333333333335,0.00010237516290866402,946,300000
css,0.5,13,0.004200000000000001,0.00372,0.00011116009805917093,1116,300000
css,0.5,13,0.004300000000000001,0.004343333333333334,0.00012007321776064984,1303,300000
css,0.5,13,0.004400000000000001,0.005056666666666667,0.00012951057326449078,1517,300000
css,0.5,13,0.004500000000000001,0.005926666666666667,0.00014014677234862414,1778,300000
css,0.5,13,0.004600000000000002,0.006706666666666666,0.00014902434035687136,2012,300000
css,0.5,13,0.004700000000000002,0.007526666666666667,0.00015780578235578043,2258,300000
css,0.5,13,0.004800000000000002,0.008583333333333333,0.00016842838556509025,2575,300000
css,0.5,13,0.0049000000000000024,0.010043333333333333,0.00018205522819462854,3013,300000
css,0.5,13,0.005000000000000003,0.011116666666666667,0.00019143185410471462,3335,300000
css,0.5,13,0.005100000000000003,0.01284,0.00020555520935022428,3852,300000
css,0.5,13,0.005200000000000003,0.014836666666666666,0.00022073570828447069,4451,300000
css,0.5,13,0.0053000000000000035,0.01616333333333333,0.00023023761134481624,4849,300000
css,0.5,13,0.005400000000000004,0.018666666666666668,0.0002471095130310262,5600,300000
css,0.5,13,0.005500000000000004,0.020376666666666668,0.0002579545074509436,6113,300000
css,0.5,13,0.005600000000000004,0.0228,0.0002725242790047669,6840,300000
css,0.5,13,0.0057000000000000045,0.025726666666666665,0.0002890528874260473,7718,300000
css,0.5,13,0.005800000000000005,0.028343333333333335,0.0003029886605010121,8503,300000
css,0.5,13,0.005900000000000005,0.03143666666666667,0.00031858558763696483,9431,300000
css,0.5,13,0.006000000000000005,0.034113333333333336,0.00033141226836578414,10234,300000
css,0.5,13,0.006100000000000006,0.037873333333333335,0.00034851845650914204,11362,300000
css,0.5,13,0.006200000000000006,0.04138,0.00036363106063608264,12414,300000
css,0.5,13,0.006300000000000006,0.04535666666666667,0.0003799122009177369,13607,300000
css,0.5,13,0.006400000000000006,0.04994333333333333,0.00039769969320079673,14983,300000
css,0.5,13,0.006500000000000007,0.05418,0.00041329980764291674,16254,300000
css,0.5,13,0.006600000000000007,0.05867666666666667,0.00042908499764190283,17603,300000
css,0.5,13,0.006700000000000007,0.06324666666666667,0.0004443983354871922,18974,300000
css,0.5,13,0.006800000000000007,0.06968,0.00046484799940513244,20904,300000
css,0.5,13,0.006900000000000008,0.07421,0.00047855076780801975,22263,300000
css,0.5,13,0.007000000000000008,0.0794,0.0004936124864234753,23820,300000
css,0.5,13,0.007100000000000008,0.08531,0.0005100082254751309,25593,300000
css,0.5,13,0.0072000000000000085,0.09129,0.0005258530092134006,27387,300000
css,0.5,13,0.007300000000000009,0.09771,0.000542103930622817,29313,300000
css,0.5,13,0.007400000000000009,0.10454958831748509,0.0005711455389023484,30005,286993
css,0.5,13,0.007500000000000009,0.11241061983949883,0.0006106863375300864,30074,267537
css,0.5,13,0.0076000000000000095,0.11796716147761598,0.0006384711234137391,30111,255249
css,0.5,13,0.00770000000000001,0.12631547966919077,0.0006811809430251892,30043,237841
css,0.5,13,0.00780000000000001,0.13301438363117174,0.0007134236451153964,30138,226577
css,0.5,13,0.007900000000000011,0.14069784263307963,0.0007511329261315758,30150,214289
css,0.5,13,0.00800000000000001,0.1482329762344539,0.0007886023092465722,30095,203025
css,0.5,13,0.00810000000000001,0.1581915841297117,0.0008378178962492044,30011,189713
